Hour,Origin,Destination,Train_Type,Number_of_Cars,Cars_Loaded,Cars_Empty,Containers_Empty,Containers_Loaded,Tons_Per_Train,HP_Required
134.4,Hibbing,Allouez,Manifest,89,48,41,0,0,8460.780405,12691.17061
145.6,Allouez,Hibbing,Manifest,89,60,29,0,0,9803.393985,14705.09098
145.6,Hibbing,Allouez,Manifest,88,48,40,0,0,8426.05764,12639.08646
156.8,Allouez,Hibbing,Manifest,89,60,29,0,0,9803.393985,14705.09098
156.8,Hibbing,Allouez,Manifest,89,48,41,0,0,8460.780405,12691.17061
168,Allouez,Hibbing,Manifest,88,59,29,0,0,9656.786755,14485.18013
168,Hibbing,Allouez,Manifest,88,47,41,0,0,8314.173175,12471.25976
179.2,Allouez,Hibbing,Manifest,89,60,29,0,0,9803.393985,14705.09098
179.2,Hibbing,Allouez,Manifest,89,48,41,0,0,8460.780405,12691.17061
190.4,Allouez,Hibbing,Manifest,88,60,28,0,0,9768.67122,14653.00683
190.4,Hibbing,Allouez,Manifest,88,48,40,0,0,8426.05764,12639.08646
201.6,Allouez,Hibbing,Manifest,88,59,29,0,0,9656.786755,14485.18013
201.6,Hibbing,Allouez,Manifest,89,48,41,0,0,8460.780405,12691.17061
212.8,Allouez,Hibbing,Manifest,88,60,28,0,0,9768.67122,14653.00683
212.8,Hibbing,Allouez,Manifest,88,48,40,0,0,8426.05764,12639.08646
224,Allouez,Hibbing,Manifest,88,60,28,0,0,9768.67122,14653.00683
224,Hibbing,Allouez,Manifest,88,48,40,0,0,8426.05764,12639.08646
235.2,Allouez,Hibbing,Manifest,89,60,29,0,0,9803.393985,14705.09098
235.2,Hibbing,Allouez,Manifest,89,48,41,0,0,8460.780405,12691.17061
246.4,Allouez,Hibbing,Manifest,88,59,29,0,0,9656.786755,14485.18013
246.4,Hibbing,Allouez,Manifest,89,48,41,0,0,8460.780405,12691.17061
257.6,Allouez,Hibbing,Manifest,88,60,28,0,0,9768.67122,14653.00683
257.6,Hibbing,Allouez,Manifest,88,48,40,0,0,8426.05764,12639.08646
268.8,Allouez,Hibbing,Manifest,89,60,29,0,0,9803.393985,14705.09098
268.8,Hibbing,Allouez,Manifest,89,48,41,0,0,8460.780405,12691.17061
280,Allouez,Hibbing,Manifest,88,60,28,0,0,9768.67122,14653.00683
280,Hibbing,Allouez,Manifest,89,48,41,0,0,8460.780405,12691.17061
291.2,Allouez,Hibbing,Manifest,88,59,29,0,0,9656.786755,14485.18013
291.2,Hibbing,Allouez,Manifest,89,48,41,0,0,8460.780405,12691.17061
302.4,Allouez,Hibbing,Manifest,89,60,29,0,0,9803.393985,14705.09098
302.4,Hibbing,Allouez,Manifest,88,48,40,0,0,8426.05764,12639.08646
313.6,Allouez,Hibbing,Unit,88,43,45,0,0,7151.236125,14302.47225
313.6,Hibbing,Allouez,Unit,87,44,43,0,0,7218.477035,14436.95407
324.8,Allouez,Hibbing,Unit,87,43,44,0,0,7118.71798,14237.43596
324.8,Hibbing,Allouez,Unit,87,44,43,0,0,7218.477035,14436.95407
336,Allouez,Hibbing,Unit,87,43,44,0,0,7118.71798,14237.43596
336,Hibbing,Allouez,Unit,88,45,43,0,0,7350.754235,14701.50847
